01000|392
01010|504
01020|616
01030|732
01040|950
01049|1062
01050|1172
01060|1311
01070|1539
01080|1653
01089|1772
01090|1889
01100|2221
01109|2331
01110|2445
01120|2924
01125|3368
01130|3491
01139|3844
01140|3968
01150|4206
01160|4429
01170|4894
01180|5016
01200|5364
01210|5482
01219|5592
01220|5712
01230|6400
01239|6998
01240|7110
01250|7225
01259|7808
01260|8059
01269|8653
01270|8893
01275|9600
01276|9720
01278|9831
01279|9951
01280|10070
01285|10519
01289|10630
01290|10754
01296|10997
01298|11366
01299|11506
01310|11762
01320|11876
01330|11996
01340|12117
01376|12246
01377|12724
01389|12844
01400|12965
01407|13209
01408|13319
01410|13449
01419|13673
01420|13792
01430|14027
01450|14144
01460|14264
01470|14379
01480|14607
01490|14727
01500|14840
01509|15076
01510|15199
01520|15538
01530|16147
01538|16264
01539|16376
01540|16615
01548|17082
01549|17202
01550|17336
01560|17692
01566|18161
01569|18273
01588|18407
01590|18517
01600|18629
01610|18744
01618|19001
01619|19245
01620|19483
01630|19602
01640|19958
01645|20072
01650|20191
01700|21025
01708|21800
01710|22065
01720|22298
01729|22419
01730|22534
01740|22775
01750|23147
01759|23521
01760|23646
01770|24008
01780|24245
01789|24503
01790|24620
01800|24888
01807|25010
01810|25161
01820|25276
01830|25512
01840|25632
01849|25752
01857|26025
01859|26147
01860|26260
01863|26378
01870|26498
01900|26620
01904|26744
02000|26866
02010|26989
02020|27332
02040|27554
02050|27780
02060|28010
02070|28276
02080|28495
02090|28717
02099|28828
02100|28942
02120|29053
02128|29175
02129|29292
02130|29405
02140|29518
02150|29629
02160|29738
02200|29851
02230|29970
02240|30083
02250|30303
02300|30417
02310|30536
02320|30645
02330|30770
02340|30892
02360|31018
02400|31130
02410|31247
02420|31366
02440|31489
02459|31601
02460|31711
02470|31823
02480|31944
02490|32054
02500|32163
02519|32281
02520|32391
02530|32513
02600|32629
02630|32739
02640|32956
02650|33067
02660|33190
02670|33298
02680|33410
02700|33528
02710|33646
02719|33761
02720|33888
02730|34123
02750|34245
02760|34363
02770|34597
02780|34716
02790|34825
02800|34939
02810|35057
02830|35301
02840|35412
02860|35527
02870|35636
02900|35760
02910|35869
02920|35976
02930|36099
02940|36210
02950|36319
02960|36427
02970|36550
02980|36669
02990|36896
03000|37004
03010|37121
03020|37235
03023|37354
03100|37472
03103|37713
03104|37830
03200|37945
03230|38061
03240|38170
03300|38279
03303|38393
03310|38509
03320|38628
03330|38753
03340|38859
03400|38986
03410|39094
03420|39202
03430|39317
03440|39444
03500|39558
03510|39669
03520|39778
03530|39892
03540|40009
03550|40121
03560|40234
03570|40342
03580|40460
03590|40571
03600|40679
03610|40796
03620|40913
03630|41025
03640|41140
03650|41250
03660|41364
03700|41483
03710|41605
03720|41729
03730|41841
03740|41951
03800|42076
03810|42200
03820|42309
03840|42422
03900|42542
03910|42664
03920|42773
03930|42894
03940|43008
04000|43129
04010|43240
04020|43350
04030|43459
04040|43564
04100|43678
04120|43785
04200|44008
04210|44125
04230|44245
04240|44358
04250|44465
04260|44580
04300|45142
04310|45245
04318|45360
04320|45477
04330|45722
04340|46044
04360|46156
04369|46384
04370|46506
04380|46722
04390|46938
04400|47159
04410|47265
04420|47380
04440|47512
04450|47873
04460|47982
04470|48085
04480|48341
04489|48821
04490|48943
04500|49193
04510|49324
04519|49465
04530|49575
04600|49693
04610|49814
04620|49920
04630|50035
04640|50152
04650|50257
04660|50371
04700|50486
04710|50603
04730|50708
04739|50941
04800|51048
04810|51282
04815|51397
04830|51509
04840|51618
04870|51746
04890|51852
04899|52076
04909|52194
04910|52563
04918|52673
04919|52779
04920|52915
04929|53025
04930|53134
04938|53244
04939|53359
04940|53479
04950|53586
04960|53693
04970|53803
04980|53921
05000|54292
05010|54412
05020|54532
05030|54656
05050|54897
05100|55024
05110|55156
05118|55287
05119|55414
05120|55543
05129|55673
05200|55801
05219|55933
05220|56058
05230|56177
05240|56295
05260|56414
05269|56539
05270|56660
05280|56783
05310|56912
05320|57033
05330|57151
05348|57651
05360|57780
05370|57897
05379|58018
05400|58146
05410|58269
05500|58518
05520|58637
05530|58755
05600|58883
05610|59013
05700|59140
05710|59261
05730|59382
05750|59497
05760|59614
05780|59733
06000|59855
06010|59969
06020|60083
06030|60197
06040|60306
06050|60420
06060|60534
06070|60648
06080|60762
06090|60876
06100|60990
06140|61098
06170|61204
06200|61320
06220|61426
06240|61535
06250|61645
06270|61770
06280|61873
06300|61987
06350|62094
06400|62203
06430|62323
06450|62445
06470|62551
06500|62660
06600|62769
06700|62874
06720|62983
06760|63090
06780|63197
06800|63308
06820|63413
06840|63520
06850|63628
06860|63735
06870|63846
06880|63960
06890|64066
06900|64184
06920|64302
07000|64420
07010|64541
07020|64902
07040|65027
07050|65151
07058|65280
07060|65398
07069|65514
07070|65643
07080|65990
07089|66113
07090|66247
07100|66491
07109|66734
07110|66851
07119|66975
07130|67216
07140|67462
07144|67933
